first_name,last_name,position,team,salary
Brad,Wanamaker,PG,Boston Celtics,1445697
Thanasis,Antetokounmpo,SF,Milwaukee Bucks,1445697
Wenyen,Gabriel,F,Portland Trail Blazers,1445697
Derrick,Walton,Jr. G,Detroit Pistons,1445697
Theo,Pinson,G,Brooklyn Nets,1445697
Iman,Shumpert,G,Brooklyn Nets,1419138
De'Anthony,Melton,SG,Memphis Grizzlies,1416852
Gary,Trent,Jr. SG,Portland Trail Blazers,1416852
Svi,Mykhailiuk,SG,Detroit Pistons,1416852
Melvin,Frazier,Jr. G,Orlando Magic,1416852
Kenrich,Williams,SF,New Orleans Pelicans,1416852
Deonte,Burton,G,Oklahoma City Thunder,1416852
Keita,Bates-Diop,SF,Denver Nuggets,1416852
Chimezie,Metu,PF,San Antonio Spurs,1416852
Ryan,Broekhoff,G,Dallas Mavericks,1416852
Elie,Okobo,G,Phoenix Suns,1416852
Bruce,Brown,SF,Detroit Pistons,1416852
Jarred,Vanderbilt,PF,Minnesota Timberwolves,1416852
Jevon,Carter,PG,Phoenix Suns,1416852
Duncan,Robinson,SG,Miami Heat,1416852
Jemerrio,Jones,F,Los Angeles Lakers,1416852
Kendrick,Nunn,G,Miami Heat,1416852
Isaiah,Hartenstein,C,Houston Rockets,1416852
Khyri,Thomas,SG,Detroit Pistons,1416852
Hamidou,Diallo,SG,Oklahoma City Thunder,1416852
Jalen,Brunson,PG,Dallas Mavericks,1416852
Alize,Johnson,F,Indiana Pacers,1416852
Devonte',Graham,PG,Charlotte Hornets,1416852
Dairis,Bertans,G,New Orleans Pelicans,1416852
Yante,Maten,F,Boston Celtics,1416852
Isaac,Bonga,G,Washington Wizards,1416842
Tarik,Phillip,G,Washington Wizards,1416842
Jaylen,Nowell,SG,Minnesota Timberwolves,1400000
Bruno,Fernando,F,Atlanta Hawks,1400000
Dakari,Johnson,C,Memphis Grizzlies,1378242
Kyle,Collinsworth,G,Utah Jazz,1378242
Jaylen,Morris,F,San Antonio Spurs,1378242
Brandon,Paul,G,San Antonio Spurs,1378242
Rodney,Purvis,G,Miami Heat,1378242
David,Stockton,G,Los Angeles Lakers,1378242
Zhou,Qi,C,Houston Rockets,1378242
Aaron,Jackson,F,Houston Rockets,1378242
Ike,Anigbogu,C,New Orleans Pelicans,1378242
Carmelo,Anthony,PF,Portland Trail Blazers,1364204
Jabari,Bird,G,Atlanta Hawks,1349464
Ben,Moore,F,San Antonio Spurs,1349383
James,Nunnally,SF,New Orleans Pelicans,1349383
Kevin,Porter,Jr. SG,Cleveland Cavaliers,1290960
Carsen,Edwards,PG,Boston Celtics,1228026
Okaro,White,F,Washington Wizards,1187862
Cody,Martin,SF,Charlotte Hornets,1173310
Gary,Payton,II SG,Washington Wizards,1052909
Nick,Young,G,Denver Nuggets,1042584
Admiral,Schofield,SF,Washington Wizards,1000000
Terance,Mann,SG,LA Clippers,1000000
Ron,Baker,G,Washington Wizards,948580
David,Nwaba,SF,Brooklyn Nets,903111
Jalen,McDaniels,PF,Charlotte Hornets,898310
Dewan,Hernandez,F,Toronto Raptors,898310
Daniel,Gafford,C,Chicago Bulls,898310
Eric,Paschall,PF,Golden State Warriors,898310
Stanton,Kidd,SF,Utah Jazz,898310
KZ,Okpala,F,Miami Heat,898310
Terence,Davis,SG,Toronto Raptors,898310
Ignas,Brazdeikis,SF,New York Knicks,898310
Nic,Claxton,PF,Brooklyn Nets,898310
Naz,Reid,C,Minnesota Timberwolves,898310
Jalen,Lecque,G,Phoenix Suns,898310
