team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Seattle Storm,7823,2001,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
Los Angeles Sparks,11709,2001,Houston Comets,Staples Center,Los Angeles,CA,Regular season,LAS,HOU
Charlotte Sting,11737,2001,New York Liberty,Spectrum Center,Charlotte,NC,Regular season,CHA,NYL
Orlando Miracle,11903,2001,Miami Sol,Amway Arena,Orlando,FL,Regular season,ORL,MIA
Phoenix Mercury,10823,2001,Portland Fire,US Airways Center,Phoenix,AZ,Regular season,PHO,POR
Sacramento Monarchs,13873,2001,Seattle Storm,ARCO Arena,Sacramento,CA,Regular season,SAC,SEA
Washington Mystics,17531,2001,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Minnesota Lynx,10489,2001,Utah Starzz,Target Center,Minneapolis,MN,Regular season,MIN,UTA
Indiana Fever,15198,2001,Detroit Shock,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,DET
Portland Fire,8582,2001,Sacramento Monarchs,Moda Center,Portland,OR,Regular season,POR,SAC
Houston Comets,10516,2001,Minnesota Lynx,Compaq Center,Houston,TX,Regular season,HOU,MIN
Utah Starzz,11519,2001,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Miami Sol,11123,2001,Charlotte Sting,AmericanAirlines Arena,Miami,FL,Regular season,MIA,CHA
Orlando Miracle,8570,2001,Indiana Fever,Amway Arena,Orlando,FL,Regular season,ORL,IND
Detroit Shock,9799,2001,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
New York Liberty,18213,2001,Washington Mystics,Madison Square Garden,New York,NY,Regular season,NYL,WAS
Phoenix Mercury,14177,2001,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Portland Fire,10795,2001,Los Angeles Sparks,Moda Center,Portland,OR,Regular season,POR,LAS
Seattle Storm,7668,2001,Sacramento Monarchs,KeyArena,Seattle,WA,Regular season,SEA,SAC
Charlotte Sting,7488,2001,Cleveland Rockers,Spectrum Center,Charlotte,NC,Eastern Conference Semifinals,CHA,CLE
Miami Sol,8935,2001,New York Liberty,AmericanAirlines Arena,Miami,FL,Eastern Conference Semifinals,MIA,NYL
Utah Starzz,9362,2001,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Western Conference Semifinals,UTA,SAC
Cleveland Rockers,10689,2001,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Eastern Conference Semifinals,CLE,CHA
Houston Comets,9756,2001,Los Angeles Sparks,Compaq Center,Houston,TX,Western Conference Semifinals,HOU,LAS
New York Liberty,14004,2001,Miami Sol,Madison Square Garden,New York,NY,Eastern Conference Semifinals,NYL,MIA
Sacramento Monarchs,7294,2001,Utah Starzz,ARCO Arena,Sacramento,CA,Western Conference Semifinals,SAC,UTA
Cleveland Rockers,12527,2001,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Eastern Conference Semifinals,CLE,CHA
Los Angeles Sparks,8730,2001,Houston Comets,Great Western Forum,Los Angeles,CA,Western Conference Semifinals,LAS,HOU
New York Liberty,15750,2001,Miami Sol,Madison Square Garden,New York,NY,Eastern Conference Semifinals,NYL,MIA
Charlotte Sting,12843,2001,New York Liberty,Spectrum Center,Charlotte,NC,Eastern Conference Finals,CHA,NYL
Sacramento Monarchs,8502,2001,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Western Conference Finals,SAC,LAS
New York Liberty,17429,2001,Charlotte Sting,Madison Square Garden,New York,NY,Eastern Conference Finals,NYL,CHA
