team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Los Angeles Sparks,14284,1997,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Cleveland Rockers,11455,1997,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
Utah Starzz,8915,1997,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Phoenix Mercury,16102,1997,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Utah Starzz,8036,1997,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Sacramento Monarchs,15259,1997,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Houston Comets,16285,1997,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Los Angeles Sparks,6397,1997,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Cleveland Rockers,8845,1997,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Houston Comets,8931,1997,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Sacramento Monarchs,6248,1997,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
Los Angeles Sparks,6670,1997,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Cleveland Rockers,5930,1997,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Utah Starzz,6529,1997,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
New York Liberty,17780,1997,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Charlotte Sting,7289,1997,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,CLE
Houston Comets,8301,1997,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
New York Liberty,8792,1997,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Sacramento Monarchs,6156,1997,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Cleveland Rockers,7414,1997,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Utah Starzz,6718,1997,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Houston Comets,10239,1997,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Charlotte Sting,8975,1997,Los Angeles Sparks,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,LAS
Utah Starzz,7689,1997,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Sacramento Monarchs,7420,1997,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Houston Comets,5933,1997,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Utah Starzz,5783,1997,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Phoenix Mercury,13731,1997,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Los Angeles Sparks,5987,1997,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Charlotte Sting,8913,1997,New York Liberty,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,NYL
Phoenix Mercury,11892,1997,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Cleveland Rockers,5629,1997,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
New York Liberty,9951,1997,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Los Angeles Sparks,7187,1997,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Houston Comets,7751,1997,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Charlotte Sting,6166,1997,Cleveland Rockers,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,CLE
Utah Starzz,7076,1997,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Los Angeles Sparks,10494,1997,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Cleveland Rockers,6749,1997,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Houston Comets,6882,1997,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
New York Liberty,8554,1997,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Sacramento Monarchs,8420,1997,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Charlotte Sting,6110,1997,Utah Starzz,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,UTA
Phoenix Mercury,12636,1997,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Los Angeles Sparks,7240,1997,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
Cleveland Rockers,4301,1997,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
New York Liberty,9017,1997,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Sacramento Monarchs,6270,1997,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
New York Liberty,16236,1997,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Cleveland Rockers,6485,1997,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Charlotte Sting,6336,1997,Los Angeles Sparks,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,LAS
Sacramento Monarchs,5913,1997,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
New York Liberty,9011,1997,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Phoenix Mercury,12581,1997,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Charlotte Sting,7266,1997,New York Liberty,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,NYL
Los Angeles Sparks,6815,1997,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Phoenix Mercury,15648,1997,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Sacramento Monarchs,6402,1997,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Utah Starzz,7108,1997,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CLE
New York Liberty,11502,1997,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Sacramento Monarchs,8629,1997,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Phoenix Mercury,11012,1997,Cleveland Rockers,US Airways Center,Phoenix,AZ,Regular season,PHO,CLE
Houston Comets,8071,1997,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
New York Liberty,11934,1997,Sacramento Monarchs,Madison Square Garden,New York,NY,Regular season,NYL,SAC
Charlotte Sting,9166,1997,Phoenix Mercury,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,PHO
Los Angeles Sparks,7231,1997,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Cleveland Rockers,7014,1997,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Charlotte Sting,6871,1997,Sacramento Monarchs,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,SAC
Los Angeles Sparks,8009,1997,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
New York Liberty,14660,1997,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Cleveland Rockers,7541,1997,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
Utah Starzz,8561,1997,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Los Angeles Sparks,8792,1997,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Utah Starzz,6526,1997,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Phoenix Mercury,10898,1997,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Cleveland Rockers,6678,1997,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
New York Liberty,16944,1997,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Phoenix Mercury,11694,1997,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Sacramento Monarchs,5795,1997,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
Cleveland Rockers,9238,1997,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Houston Comets,10001,1997,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Sacramento Monarchs,6150,1997,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Houston Comets,14358,1997,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Charlotte Sting,10139,1997,Phoenix Mercury,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,PHO
Sacramento Monarchs,10162,1997,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Charlotte Sting,6055,1997,Houston Comets,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,HOU
Utah Starzz,7319,1997,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CLE
Houston Comets,7084,1997,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Phoenix Mercury,16371,1997,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Sacramento Monarchs,6706,1997,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Charlotte Sting,6045,1997,Sacramento Monarchs,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,SAC
Phoenix Mercury,11818,1997,Cleveland Rockers,US Airways Center,Phoenix,AZ,Regular season,PHO,CLE
New York Liberty,15855,1997,Sacramento Monarchs,Madison Square Garden,New York,NY,Regular season,NYL,SAC
Charlotte Sting,18937,1997,Houston Comets,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,HOU
Utah Starzz,8970,1997,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
New York Liberty,17499,1997,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Cleveland Rockers,10555,1997,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Phoenix Mercury,14591,1997,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Los Angeles Sparks,10496,1997,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Utah Starzz,8234,1997,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Houston Comets,8123,1997,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Sacramento Monarchs,10484,1997,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
Los Angeles Sparks,14457,1997,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Houston Comets,9631,1997,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
Utah Starzz,8148,1997,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Phoenix Mercury,15114,1997,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Los Angeles Sparks,10975,1997,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Cleveland Rockers,13766,1997,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
New York Liberty,18051,1997,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Charlotte Sting,8028,1997,Utah Starzz,Time Warner Cable Arena,Charlotte,NC,Regular season,CHA,UTA
Houston Comets,14252,1997,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Phoenix Mercury,17747,1997,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Houston Comets,11510,1997,Charlotte Sting,Compaq Center,Houston,TX,Semifinals,HOU,CHA
Phoenix Mercury,16751,1997,New York Liberty,US Airways Center,Phoenix,AZ,Semifinals,PHO,NYL
Houston Comets,16285,1997,New York Liberty,Compaq Center,Houston,TX,Finals,HOU,NYL
Charlotte Sting,9092,1998,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Cleveland Rockers,17911,1998,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Utah Starzz,9330,1998,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Sacramento Monarchs,7816,1998,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
Houston Comets,16285,1998,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Detroit Shock,15574,1998,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CHA
Utah Starzz,6288,1998,Washington Mystics,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,WAS
Phoenix Mercury,13057,1998,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Charlotte Sting,6246,1998,Houston Comets,Spectrum Center,Charlotte,NC,Regular season,CHA,HOU
Detroit Shock,7102,1998,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
Utah Starzz,6531,1998,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Phoenix Mercury,12522,1998,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Sacramento Monarchs,5818,1998,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Charlotte Sting,5093,1998,Detroit Shock,Spectrum Center,Charlotte,NC,Regular season,CHA,DET
Houston Comets,8853,1998,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
Sacramento Monarchs,6053,1998,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Washington Mystics,20674,1998,Utah Starzz,Verizon Center,Washington,DC,Regular season,WAS,UTA
Los Angeles Sparks,11191,1998,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Cleveland Rockers,7876,1998,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
Sacramento Monarchs,7101,1998,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
New York Liberty,15754,1998,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Phoenix Mercury,13503,1998,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Washington Mystics,14314,1998,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Los Angeles Sparks,7301,1998,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
Cleveland Rockers,7405,1998,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
New York Liberty,12402,1998,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Detroit Shock,7258,1998,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,Regular season,DET,SAC
Phoenix Mercury,12622,1998,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Los Angeles Sparks,5000,1998,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Detroit Shock,7386,1998,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Utah Starzz,5949,1998,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
New York Liberty,13877,1998,Sacramento Monarchs,Madison Square Garden,New York,NY,Regular season,NYL,SAC
Phoenix Mercury,13676,1998,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Houston Comets,15358,1998,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Cleveland Rockers,9518,1998,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
Charlotte Sting,8363,1998,Sacramento Monarchs,Spectrum Center,Charlotte,NC,Regular season,CHA,SAC
Washington Mystics,15191,1998,Phoenix Mercury,Verizon Center,Washington,DC,Regular season,WAS,PHO
New York Liberty,12683,1998,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Detroit Shock,7287,1998,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CHA
Houston Comets,9227,1998,Washington Mystics,Compaq Center,Houston,TX,Regular season,HOU,WAS
Utah Starzz,6975,1998,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Sacramento Monarchs,6081,1998,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Washington Mystics,10364,1998,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Detroit Shock,9169,1998,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Cleveland Rockers,7990,1998,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Los Angeles Sparks,7115,1998,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
New York Liberty,12479,1998,Washington Mystics,Madison Square Garden,New York,NY,Regular season,NYL,WAS
Houston Comets,10607,1998,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Charlotte Sting,8210,1998,Phoenix Mercury,Spectrum Center,Charlotte,NC,Regular season,CHA,PHO
Washington Mystics,15162,1998,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Sacramento Monarchs,5396,1998,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Cleveland Rockers,8928,1998,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
New York Liberty,11276,1998,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Utah Starzz,7005,1998,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Los Angeles Sparks,5927,1998,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
Cleveland Rockers,6657,1998,Washington Mystics,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,WAS
New York Liberty,17404,1998,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Detroit Shock,9276,1998,Phoenix Mercury,Palace of Auburn Hills,Detroit,MI,Regular season,DET,PHO
Utah Starzz,6145,1998,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Los Angeles Sparks,4851,1998,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Houston Comets,9641,1998,Detroit Shock,Compaq Center,Houston,TX,Regular season,HOU,DET
Phoenix Mercury,13407,1998,Cleveland Rockers,US Airways Center,Phoenix,AZ,Regular season,PHO,CLE
Sacramento Monarchs,5985,1998,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
Washington Mystics,17906,1998,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Houston Comets,14136,1998,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
New York Liberty,14483,1998,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Los Angeles Sparks,7738,1998,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Houston Comets,9193,1998,Washington Mystics,Compaq Center,Houston,TX,Regular season,HOU,WAS
Phoenix Mercury,13071,1998,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Utah Starzz,7235,1998,Detroit Shock,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,DET
Sacramento Monarchs,5918,1998,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Charlotte Sting,10424,1998,New York Liberty,Spectrum Center,Charlotte,NC,Regular season,CHA,NYL
Phoenix Mercury,13002,1998,Detroit Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,DET
Los Angeles Sparks,5774,1998,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Cleveland Rockers,10326,1998,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Charlotte Sting,7665,1998,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Detroit Shock,8180,1998,Utah Starzz,Palace of Auburn Hills,Detroit,MI,Regular season,DET,UTA
Los Angeles Sparks,8758,1998,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
Phoenix Mercury,14655,1998,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Detroit Shock,8573,1998,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
Sacramento Monarchs,8720,1998,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Washington Mystics,13744,1998,Utah Starzz,Verizon Center,Washington,DC,Regular season,WAS,UTA
Cleveland Rockers,7924,1998,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Phoenix Mercury,13257,1998,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Washington Mystics,20674,1998,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
Phoenix Mercury,14705,1998,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Los Angeles Sparks,7696,1998,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Charlotte Sting,7584,1998,Utah Starzz,Spectrum Center,Charlotte,NC,Regular season,CHA,UTA
Detroit Shock,7747,1998,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Los Angeles Sparks,7751,1998,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Sacramento Monarchs,8023,1998,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Detroit Shock,14181,1998,Los Angeles Sparks,Palace of Auburn Hills,Detroit,MI,Regular season,DET,LAS
Cleveland Rockers,9960,1998,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Charlotte Sting,13014,1998,Houston Comets,Spectrum Center,Charlotte,NC,Regular season,CHA,HOU
New York Liberty,15114,1998,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Washington Mystics,12430,1998,Sacramento Monarchs,Verizon Center,Washington,DC,Regular season,WAS,SAC
Charlotte Sting,5447,1998,Sacramento Monarchs,Spectrum Center,Charlotte,NC,Regular season,CHA,SAC
Cleveland Rockers,9848,1998,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Utah Starzz,8624,1998,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Houston Comets,16285,1998,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Washington Mystics,14137,1998,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
Cleveland Rockers,8418,1998,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
Charlotte Sting,6227,1998,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Houston Comets,12004,1998,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Detroit Shock,10248,1998,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,Regular season,DET,SAC
Los Angeles Sparks,9563,1998,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Houston Comets,12745,1998,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
Washington Mystics,18802,1998,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Utah Starzz,8375,1998,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
New York Liberty,14684,1998,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Houston Comets,10940,1998,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Charlotte Sting,5678,1998,Detroit Shock,Spectrum Center,Charlotte,NC,Regular season,CHA,DET
Los Angeles Sparks,8224,1998,Washington Mystics,Great Western Forum,Los Angeles,CA,Regular season,LAS,WAS
Utah Starzz,15657,1998,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Phoenix Mercury,13589,1998,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Sacramento Monarchs,6543,1998,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
Charlotte Sting,9444,1998,New York Liberty,Spectrum Center,Charlotte,NC,Regular season,CHA,NYL
Detroit Shock,9872,1998,Los Angeles Sparks,Palace of Auburn Hills,Detroit,MI,Regular season,DET,LAS
Houston Comets,16285,1998,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Utah Starzz,5761,1998,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CLE
Detroit Shock,15338,1998,Houston Comets,Palace of Auburn Hills,Detroit,MI,Regular season,DET,HOU
Sacramento Monarchs,5847,1998,Washington Mystics,ARCO Arena,Sacramento,CA,Regular season,SAC,WAS
New York Liberty,18014,1998,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Cleveland Rockers,13786,1998,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Phoenix Mercury,16823,1998,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Washington Mystics,18923,1998,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
Cleveland Rockers,13011,1998,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Houston Comets,12539,1998,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Utah Starzz,6770,1998,Detroit Shock,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,DET
New York Liberty,15524,1998,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Sacramento Monarchs,5527,1998,Detroit Shock,ARCO Arena,Sacramento,CA,Regular season,SAC,DET
Washington Mystics,12016,1998,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Charlotte Sting,11213,1998,Los Angeles Sparks,Spectrum Center,Charlotte,NC,Regular season,CHA,LAS
Utah Starzz,7153,1998,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
New York Liberty,13371,1998,Washington Mystics,Madison Square Garden,New York,NY,Regular season,NYL,WAS
Charlotte Sting,14715,1998,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Phoenix Mercury,14398,1998,Detroit Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,DET
Los Angeles Sparks,8297,1998,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
New York Liberty,19563,1998,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Cleveland Rockers,15692,1998,Washington Mystics,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,WAS
Sacramento Monarchs,7061,1998,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
