Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natasha Howard</strong,SEA,F,34,1066,34,34,1066,227,517,0.439,32,104,0.308,195,413,0.472,128,158,0.81,92,279,72,74,59,99,100,614
Chloe Jackson</strong,CHI,G,8,32,8,0,32,2,9,0.222,0,0,,2,9,0.222,1,6,0.167,3,6,4,5,0,6,1,5
Briann January</strong,PHO,G,32,852,32,26,852,71,182,0.39,31,82,0.378,40,100,0.4,36,43,0.837,6,42,103,26,3,54,67,209
Marine Johannes</strong,NYL,G,19,345,19,0,345,48,110,0.436,25,66,0.379,23,44,0.523,15,19,0.789,9,34,46,8,3,22,30,136
Glory Johnson</strong,DAL,F,28,676,28,19,676,78,214,0.364,35,103,0.34,43,111,0.387,14,24,0.583,27,144,39,39,18,28,45,205
Shenise Johnson</strong,IND,G,17,219,17,0,219,30,90,0.333,8,33,0.242,22,57,0.386,15,16,0.938,11,35,18,12,2,12,17,83
Alexis Jones</strong,LAS,G,20,243,20,1,243,28,70,0.4,11,33,0.333,17,37,0.459,12,15,0.8,2,22,36,6,4,27,29,79
Brionna Jones</strong,CON,F,27,227,27,0,227,35,75,0.467,0,1,0,35,74,0.473,24,36,0.667,37,59,9,9,7,19,36,94
Jonquel Jones</strong,CON,F,34,980,34,34,980,173,386,0.448,43,139,0.309,130,247,0.526,108,132,0.818,113,330,52,43,68,66,96,497
Paris Kea</strong,IND,G,11,60,11,0,60,11,27,0.407,5,9,0.556,6,18,0.333,2,4,0.5,1,5,6,1,2,9,4,29
Betnijah Laney</strong,IND,G-F,34,877,34,27,877,77,213,0.362,20,66,0.303,57,147,0.388,18,31,0.581,32,143,59,48,4,49,55,192
Crystal Langhorne,SEA,F-C,34,577,34,4,577,70,171,0.409,18,57,0.316,52,114,0.456,33,44,0.75,27,106,33,10,9,43,35,191
Jantel Lavender</strong,CHI,F,23,619,23,22,619,103,210,0.49,6,27,0.222,97,183,0.53,19,21,0.905,46,158,26,7,13,32,34,231
Camille Little,PHO,F,29,425,29,0,425,40,92,0.435,7,21,0.333,33,71,0.465,25,31,0.806,19,69,23,11,8,25,51,112
Jewell Loyd</strong,SEA,G,27,686,27,21,686,117,299,0.391,34,101,0.337,83,198,0.419,64,69,0.928,11,74,54,35,3,52,33,332
Sancho Lyttle,PHO,F,20,250,20,2,250,26,62,0.419,1,4,0.25,25,58,0.431,5,8,0.625,14,58,6,12,5,12,27,58
Marina Mabrey</strong,LAS,G,31,355,31,0,355,45,131,0.344,21,77,0.273,24,54,0.444,14,16,0.875,6,38,30,19,7,24,23,125
Victoria Macaulay</strong,CHI,C,5,22,5,0,22,2,5,0.4,0,0,,2,5,0.4,2,2,1,1,4,0,2,1,0,3,6
Stephanie Mavunga</strong,IND,F,24,204,24,0,204,24,47,0.511,0,1,0,24,46,0.522,12,17,0.706,21,56,4,6,7,10,39,60
Kayla McBride</strong,LVA,G,34,990,34,34,990,152,358,0.425,62,145,0.428,90,213,0.423,87,96,0.906,22,141,88,41,3,59,46,453
Erica McCall</strong,IND,F,15,104,15,0,104,3,22,0.136,0,0,,3,22,0.136,8,8,1,11,27,6,1,6,3,13,14
Brooke McCarty-Williams</strong,DAL,G,34,447,34,3,447,26,90,0.289,18,50,0.36,8,40,0.2,11,12,0.917,10,45,64,16,1,29,42,81
Angel McCoughtry</strong,ATL,F-G,1,0,1,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Teaira McCowan</strong,IND,C,34,752,34,16,752,119,230,0.517,0,0,,119,230,0.517,103,150,0.687,108,305,8,20,44,44,110,341
Emma Meesseman</strong,WAS,F,23,543,23,6,543,122,221,0.552,19,45,0.422,103,176,0.585,38,42,0.905,27,97,73,20,15,22,41,301
Kim Mestdagh</strong,WAS,G,15,71,15,0,71,7,18,0.389,6,15,0.4,1,3,0.333,2,2,1,1,4,6,2,0,6,5,22
Kelsey Mitchell</strong,IND,G,34,852,34,20,852,167,432,0.387,79,211,0.374,88,221,0.398,51,61,0.836,4,56,90,15,4,57,57,464
Leilani Mitchell</strong,PHO,G,32,971,32,27,971,134,304,0.441,74,172,0.43,60,132,0.455,68,82,0.829,16,96,128,30,10,58,78,410
Tiffany Mitchell</strong,IND,G,33,831,33,14,831,109,286,0.381,20,69,0.29,89,217,0.41,83,93,0.892,22,95,71,19,3,55,83,321
Renee Montgomery,ATL,G,34,949,34,34,949,107,289,0.37,68,210,0.324,39,79,0.494,42,51,0.824,9,74,90,31,6,64,51,324
Kaleena Mosqueda-Lewis</strong,SEA,F,31,435,31,4,435,65,163,0.399,28,82,0.341,37,81,0.457,14,14,1,9,36,16,8,5,36,40,172
Jaime Nared</strong,LVA,G-F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
Astou Ndour</strong,CHI,C-F,21,368,21,11,368,58,118,0.492,14,33,0.424,44,85,0.518,13,18,0.722,30,88,14,10,14,14,36,143
Kia Nurse</strong,NYL,G,34,1001,34,34,1001,142,361,0.393,65,184,0.353,77,177,0.435,116,133,0.872,19,85,78,25,4,56,60,465
Arike Ogunbowale</strong,DAL,G,33,1059,33,28,1059,214,551,0.388,57,162,0.352,157,389,0.404,145,178,0.815,20,80,106,35,1,68,85,630
Chiney Ogwumike</strong,LAS,F-C,32,697,32,14,697,125,253,0.494,1,4,0.25,124,249,0.498,55,68,0.809,81,184,25,33,23,42,110,306
Nneka Ogwumike</strong,LAS,F,32,892,32,32,892,207,406,0.51,23,68,0.338,184,338,0.544,77,93,0.828,73,282,58,60,15,58,92,514
